symbol	usa	ita_candidate	delta	tileset	height	width	score	candidate_count	confidence	status
GameCorner_h	12:4BB1	12:4BB0	-1	12	09	0A	5	1	HIGH	CANDIDATE
CeladonMart5F_h	12:505D	12:4219	-3652	12	04	0A	5	6	AMBIGUOUS	CANDIDATE
GameCornerPrizeRoom_h	12:50E4	12:50E6	+2	12	04	05	5	2	MEDIUM	CANDIDATE
CeladonDiner_h	12:5145	12:50E6	-95	12	04	05	5	2	MEDIUM	CANDIDATE
CeladonChiefHouse_h	12:5202	12:5204	+2	13	04	04	5	1	HIGH	CANDIDATE
CeladonHotel_h	12:525D	11:4251	BANK_CHANGE	06	04	07	5	12	AMBIGUOUS	CANDIDATE
MtMoonPokecenter_h	12:52C3	11:4251	BANK_CHANGE	06	04	07	5	12	AMBIGUOUS	CANDIDATE
RockTunnelPokecenter_h	12:53AE	11:4251	BANK_CHANGE	06	04	07	5	12	AMBIGUOUS	CANDIDATE
Route11Gate1F_h	12:5400	12:5402	+2	0C	05	04	5	3	MEDIUM	CANDIDATE
Route11Gate2F_h	12:5448	07:627E	BANK_CHANGE	0C	04	04	5	15	AMBIGUOUS	CANDIDATE
Route12Gate1F_h	12:54F8	07:6678	BANK_CHANGE	0C	04	05	5	3	MEDIUM	CANDIDATE
Route12Gate2F_h	12:5554	07:627E	BANK_CHANGE	0C	04	04	5	15	AMBIGUOUS	CANDIDATE
Route15Gate1F_h	12:55F6	12:5402	-500	0C	05	04	5	3	MEDIUM	CANDIDATE
Route15Gate2F_h	12:563E	07:627E	BANK_CHANGE	0C	04	04	5	15	AMBIGUOUS	CANDIDATE
Route16Gate1F_h	12:56B2	12:56B4	+2	0C	07	04	5	1	HIGH	CANDIDATE
Route16Gate2F_h	12:57FF	07:627E	BANK_CHANGE	0C	04	04	5	15	AMBIGUOUS	CANDIDATE
Route18Gate1F_h	12:586A	12:5402	-1128	0C	05	04	5	3	MEDIUM	CANDIDATE
Route18Gate2F_h	12:5969	07:627E	BANK_CHANGE	0C	04	04	5	15	AMBIGUOUS	CANDIDATE
MtMoon1F_h	12:59BC	11:44D0	BANK_CHANGE	11	12	14	5	5	AMBIGUOUS	CANDIDATE
MtMoonB2F_h	12:5CFF	11:44D0	BANK_CHANGE	11	12	14	5	5	AMBIGUOUS	CANDIDATE
SafariZoneWest_h	12:61A9	11:585F	BANK_CHANGE	03	0D	0F	5	4	AMBIGUOUS	CANDIDATE
SafariZoneSecretHouse_h	12:630B	12:630D	+2	14	04	04	5	5	AMBIGUOUS	CANDIDATE
TradeCenter_h	13:7D04	13:7D04	+0	15	04	05	5	2	MEDIUM	UNCHANGED
Colosseum_h	13:7D71	13:7D71	+0	15	04	05	5	2	MEDIUM	UNCHANGED
Route22_h	14:4000	14:4000	+0	00	09	14	5	3	MEDIUM	UNCHANGED
Route20_h	14:40F1	14:40F1	+0	00	09	32	5	1	HIGH	UNCHANGED
Route23_h	14:433F	14:433F	+0	17	48	0A	5	1	HIGH	UNCHANGED
Route24_h	14:4682	14:4682	+0	00	12	0A	5	4	AMBIGUOUS	UNCHANGED
Route25_h	14:479B	14:479B	+0	00	09	1E	5	6	AMBIGUOUS	UNCHANGED
IndigoPlateau_h	14:491E	14:491E	+0	17	09	0A	5	1	HIGH	UNCHANGED
SaffronCity_h	14:49A4	14:49A4	+0	00	12	14	5	6	AMBIGUOUS	UNCHANGED
VictoryRoad2F_h	14:5791	11:47DD	BANK_CHANGE	11	09	0F	5	10	AMBIGUOUS	CANDIDATE
MtMoonB1F_h	14:5A36	14:5A35	-1	11	0E	0E	5	2	MEDIUM	CANDIDATE
SilphCo7F_h	14:5B55	06:61A2	BANK_CHANGE	16	09	0D	5	4	AMBIGUOUS	CANDIDATE
PokemonMansion2F_h	14:5FCC	11:42A3	BANK_CHANGE	16	0E	0F	5	6	AMBIGUOUS	CANDIDATE
PokemonMansion3F_h	14:61E2	06:5D04	BANK_CHANGE	16	09	0F	5	6	AMBIGUOUS	CANDIDATE
PokemonMansionB1F_h	14:63AD	11:42A3	BANK_CHANGE	16	0E	0F	5	6	AMBIGUOUS	CANDIDATE
Route2_h	15:4000	15:4000	+0	00	24	0A	5	3	MEDIUM	UNCHANGED
Route3_h	15:41E6	15:41E6	+0	00	09	23	5	2	MEDIUM	UNCHANGED
Route4_h	15:4390	15:4390	+0	00	09	2D	5	1	HIGH	UNCHANGED
Route5_h	15:4581	15:4581	+0	00	12	0A	5	4	AMBIGUOUS	UNCHANGED
Route9_h	15:4686	15:4686	+0	00	09	1E	5	6	AMBIGUOUS	UNCHANGED
Route13_h	15:480C	15:480C	+0	00	09	1E	5	6	AMBIGUOUS	UNCHANGED
Route14_h	15:4999	15:4999	+0	00	1B	0A	5	2	MEDIUM	UNCHANGED
Route17_h	15:4B20	15:4B20	+0	00	48	0A	5	1	HIGH	UNCHANGED
Route19_h	15:4E78	15:4E78	+0	00	1B	0A	5	2	MEDIUM	UNCHANGED
Route21_h	15:4FFF	15:4FFF	+0	00	2D	0A	5	1	HIGH	UNCHANGED
VermilionOldRodHouse_h	15:6064	15:6064	+0	08	04	04	5	21	AMBIGUOUS	UNCHANGED
CeladonMart2F_h	15:60E9	15:60E9	+0	12	04	0A	5	6	AMBIGUOUS	UNCHANGED
FuchsiaGoodRodHouse_h	15:6170	15:6170	+0	0D	04	04	5	4	AMBIGUOUS	UNCHANGED
Daycare_h	15:6243	15:6243	+0	08	04	04	5	21	AMBIGUOUS	UNCHANGED
Route12SuperRodHouse_h	15:6473	15:6473	+0	08	04	04	5	21	AMBIGUOUS	UNCHANGED
SilphCo8F_h	15:64F8	15:64F8	+0	16	09	0D	5	4	AMBIGUOUS	UNCHANGED
Route6_h	16:4000	16:4000	+0	00	12	0A	5	4	AMBIGUOUS	UNCHANGED
Route8_h	16:412D	16:412D	+0	00	09	1E	5	6	AMBIGUOUS	UNCHANGED
Route10_h	16:42D4	16:42D4	+0	00	24	0A	5	3	MEDIUM	UNCHANGED
Route11_h	16:44BE	16:44BE	+0	00	09	1E	5	6	AMBIGUOUS	UNCHANGED
Route12_h	16:466D	16:466D	+0	00	36	0A	5	1	HIGH	UNCHANGED
Route15_h	16:492C	16:492C	+0	00	09	1E	5	6	AMBIGUOUS	UNCHANGED
Route16_h	16:4ADA	16:4ADA	+0	00	09	14	5	3	MEDIUM	UNCHANGED
Route18_h	16:4C38	16:4C38	+0	00	09	19	5	2	MEDIUM	UNCHANGED
PokemonFanClub_h	16:5B64	16:5B64	+0	10	04	04	5	3	MEDIUM	UNCHANGED
SilphCo2F_h	16:5CE5	16:5CE5	+0	16	09	0F	5	6	AMBIGUOUS	UNCHANGED
SilphCo3F_h	16:5F4F	16:5F4F	+0	16	09	0F	5	6	AMBIGUOUS	UNCHANGED
SilphCo10F_h	16:612D	16:612D	+0	16	09	08	5	1	HIGH	UNCHANGED
LancesRoom_h	16:62A2	16:62A2	+0	05	0D	0D	5	1	HIGH	UNCHANGED
HallOfFame_h	16:6492	16:6492	+0	07	04	05	5	6	AMBIGUOUS	UNCHANGED
RedsHouse2F_h	17:40A4	17:40A4	+0	04	04	04	5	232	AMBIGUOUS	UNCHANGED
Museum1F_h	17:40EB	17:40EB	+0	0A	04	0A	5	6	AMBIGUOUS	UNCHANGED
Museum2F_h	17:430B	17:430B	+0	0A	04	07	5	2	MEDIUM	UNCHANGED
PewterGym_h	17:437B	17:437B	+0	07	07	05	5	12	AMBIGUOUS	UNCHANGED
PewterPokecenter_h	17:457B	17:457B	+0	06	04	07	5	12	AMBIGUOUS	UNCHANGED
CeruleanPokecenter_h	17:4639	17:4639	+0	06	04	07	5	12	AMBIGUOUS	UNCHANGED
CeruleanGym_h	17:46A7	17:46A7	+0	07	07	05	5	12	AMBIGUOUS	UNCHANGED
CeruleanMart_h	17:4889	07:5462	BANK_CHANGE	02	04	04	5	16	AMBIGUOUS	CANDIDATE
LavenderPokecenter_h	17:48CE	11:4251	BANK_CHANGE	06	04	07	5	12	AMBIGUOUS	CANDIDATE
LavenderMart_h	17:4920	07:5462	BANK_CHANGE	02	04	04	5	16	AMBIGUOUS	CANDIDATE
VermilionPokecenter_h	17:4983	11:4251	BANK_CHANGE	06	04	07	5	12	AMBIGUOUS	CANDIDATE
VermilionMart_h	17:49D5	07:5462	BANK_CHANGE	02	04	04	5	16	AMBIGUOUS	CANDIDATE
VermilionGym_h	17:4A1A	12:48FE	BANK_CHANGE	07	09	05	5	4	AMBIGUOUS	CANDIDATE
CopycatsHouse2F_h	17:4C65	14:45AC	BANK_CHANGE	04	04	04	5	232	AMBIGUOUS	CANDIDATE
FightingDojo_h	17:4D51	07:4B02	BANK_CHANGE	05	06	05	5	22	AMBIGUOUS	CANDIDATE
SaffronGym_h	17:5001	17:4FFC	-5	16	09	0A	5	16	AMBIGUOUS	CANDIDATE
SaffronMart_h	17:53FD	07:5462	BANK_CHANGE	02	04	04	5	16	AMBIGUOUS	CANDIDATE
SilphCo1F_h	17:5442	06:5D04	BANK_CHANGE	16	09	0F	5	6	AMBIGUOUS	CANDIDATE
SaffronPokecenter_h	17:5529	11:4251	BANK_CHANGE	06	04	07	5	12	AMBIGUOUS	CANDIDATE
ViridianForestNorthGate_h	17:557B	17:5577	-4	09	04	05	5	3	MEDIUM	CANDIDATE
Route2Gate_h	17:55C8	07:6678	BANK_CHANGE	0C	04	05	5	3	MEDIUM	CANDIDATE
ViridianForestSouthGate_h	17:5650	17:5577	-217	09	04	05	5	3	MEDIUM	CANDIDATE
UndergroundPathRoute5_h	17:569D	07:627E	BANK_CHANGE	0C	04	04	5	15	AMBIGUOUS	CANDIDATE
UndergroundPathRoute6_h	17:56E3	07:627E	BANK_CHANGE	0C	04	04	5	15	AMBIGUOUS	CANDIDATE
UndergroundPathRoute7_h	17:5720	07:627E	BANK_CHANGE	0C	04	04	5	15	AMBIGUOUS	CANDIDATE
SilphCo9F_h	17:57AF	06:61A2	BANK_CHANGE	16	09	0D	5	4	AMBIGUOUS	CANDIDATE
VictoryRoad1F_h	17:59FE	17:59FA	-4	11	09	0A	5	16	AMBIGUOUS	CANDIDATE
PokemonTower1F_h	18:4420	18:4420	+0	0F	09	0A	5	9	AMBIGUOUS	UNCHANGED
PokemonTower2F_h	18:44E6	18:44E6	+0	0F	09	0A	5	9	AMBIGUOUS	UNCHANGED
PokemonTower3F_h	18:46C0	18:46C0	+0	0F	09	0A	5	9	AMBIGUOUS	UNCHANGED
PokemonTower4F_h	18:47EA	18:47EA	+0	0F	09	0A	5	9	AMBIGUOUS	UNCHANGED
PokemonTower5F_h	18:4926	18:4926	+0	0F	09	0A	5	9	AMBIGUOUS	UNCHANGED
PokemonTower6F_h	18:4AE3	18:4AE3	+0	0F	09	0A	5	9	AMBIGUOUS	UNCHANGED
PokemonTower7F_h	18:4CF9	18:4CF9	+0	0F	09	0A	5	9	AMBIGUOUS	UNCHANGED
CeladonMart1F_h	18:4F7A	18:4F7A	+0	12	04	0A	5	6	AMBIGUOUS	UNCHANGED
ViridianForest_h	18:5101	18:5101	+0	03	18	11	5	1	HIGH	UNCHANGED
SSAnne1F_h	18:5259	18:5259	+0	0D	09	14	5	3	MEDIUM	UNCHANGED
SSAnne2F_h	18:5393	18:5393	+0	0D	09	14	5	3	MEDIUM	UNCHANGED
SSAnneB1F_h	18:5622	18:5622	+0	0D	04	0F	5	1	HIGH	UNCHANGED
SSAnneBow_h	18:56A2	18:56A2	+0	0D	07	0A	5	2	MEDIUM	UNCHANGED
SSAnneKitchen_h	18:57A7	18:57A7	+0	0D	08	07	5	2	MEDIUM	UNCHANGED
SSAnneCaptainsRoom_h	18:5889	18:5889	+0	0D	04	03	5	2	MEDIUM	UNCHANGED
SSAnne1FRooms_h	18:596A	18:596A	+0	0D	08	0C	5	4	AMBIGUOUS	UNCHANGED
SSAnne2FRooms_h	18:5B3F	18:5B3F	+0	0D	08	0C	5	4	AMBIGUOUS	UNCHANGED
SSAnneB1FRooms_h	18:5D49	18:5D49	+0	0D	08	0C	5	4	AMBIGUOUS	UNCHANGED
UndergroundPathNorthSouth_h	18:5F1A	18:5F1A	+0	0B	18	04	5	2	MEDIUM	UNCHANGED
UndergroundPathWestEast_h	18:5F3E	18:5F3E	+0	0B	04	19	5	1	HIGH	UNCHANGED
DiglettsCave_h	18:5F62	18:5F62	+0	11	12	14	5	5	AMBIGUOUS	UNCHANGED
SilphCo11F_h	18:60EE	18:60EE	+0	10	09	09	5	1	HIGH	UNCHANGED
ViridianGym_h	1D:4897	1D:4912	+123	07	09	0A	5	2	MEDIUM	CANDIDATE
PewterMart_h	1D:4CA1	07:5462	BANK_CHANGE	02	04	04	5	16	AMBIGUOUS	CANDIDATE
CeruleanCave1F_h	1D:4D00	11:47DD	BANK_CHANGE	11	09	0F	5	10	AMBIGUOUS	CANDIDATE
CeruleanBadgeHouse_h	1D:4DFD	15:6170	BANK_CHANGE	0D	04	04	5	4	AMBIGUOUS	CANDIDATE
FuchsiaBillsGrandpasHouse_h	1D:500C	06:5B34	BANK_CHANGE	08	04	04	5	21	AMBIGUOUS	CANDIDATE
FuchsiaPokecenter_h	1D:5057	11:4251	BANK_CHANGE	06	04	07	5	12	AMBIGUOUS	CANDIDATE
WardensHouse_h	1D:50A9	1D:5123	+122	14	04	05	5	2	MEDIUM	CANDIDATE
SafariZoneGate_h	1D:51C1	07:5F28	BANK_CHANGE	0C	03	04	5	4	AMBIGUOUS	CANDIDATE
FuchsiaGym_h	1D:5431	12:48FE	BANK_CHANGE	07	09	05	5	4	AMBIGUOUS	CANDIDATE
FuchsiaMeetingRoom_h	1D:56D7	1D:574F	+120	14	04	07	5	1	HIGH	CANDIDATE
CinnabarGym_h	1D:573E	17:4FFC	BANK_CHANGE	16	09	0A	5	16	AMBIGUOUS	CANDIDATE
CinnabarLab_h	1D:5B80	1D:5BF7	+119	14	04	09	5	1	HIGH	CANDIDATE
CinnabarLabTradeRoom_h	1D:5C15	12:630D	BANK_CHANGE	14	04	04	5	5	AMBIGUOUS	CANDIDATE
CinnabarLabMetronomeRoom_h	1D:5C7B	12:630D	BANK_CHANGE	14	04	04	5	5	AMBIGUOUS	CANDIDATE
CinnabarLabFossilRoom_h	1D:5D25	12:630D	BANK_CHANGE	14	04	04	5	5	AMBIGUOUS	CANDIDATE
CinnabarPokecenter_h	1D:5E20	11:4251	BANK_CHANGE	06	04	07	5	12	AMBIGUOUS	CANDIDATE
CinnabarMart_h	1D:5E72	07:5462	BANK_CHANGE	02	04	04	5	16	AMBIGUOUS	CANDIDATE
CopycatsHouse1F_h	1D:5EB7	12:415C	BANK_CHANGE	01	04	04	5	8	AMBIGUOUS	CANDIDATE
ChampionsRoom_h	1D:5F11	1D:5F88	+119	07	04	04	5	12	AMBIGUOUS	CANDIDATE
LoreleisRoom_h	1D:616F	1D:61E6	+119	07	06	05	5	5	AMBIGUOUS	CANDIDATE
BrunosRoom_h	1D:62CA	1D:61E6	-228	07	06	05	5	5	AMBIGUOUS	CANDIDATE
AgathasRoom_h	1D:6421	1D:6498	+119	0F	06	05	5	3	MEDIUM	CANDIDATE
