usa_symbol	usa_address	ita_address	confidence	status	structural_score	length_score	raw_similarity	direct_score	sequence_score	neighbor_score	candidate_margin	propagation_support	direct_evidence	propagated_evidence	chain_dependency	suspicious	pass1_address	pass1_status	final_score
_ViridianForestYoungster4AfterBattleText	0x4475	0x44DB	0.916	HIGH_CONFIDENCE	0.839	0.963	0.031	0.866	0.896	0.999	0.866	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x44DB	AMBIGUOUS	0.866
_ViridianForestYoungster5Text	0x44C7	0x452A	0.822	MEDIUM_CONFIDENCE	0.743	0.744	0.062	0.773	0.878	0.967	0.773	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x452A	AMBIGUOUS	0.773
_ViridianForestTrainerTips1Text	0x450A	0x4584	0.923	HIGH_CONFIDENCE	0.880	0.890	0.062	0.875	0.755	0.960	0.875	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x4584	AMBIGUOUS	0.875
_ViridianForestUseAntidoteSignText	0x4553	0x45C5	0.867	MEDIUM_CONFIDENCE	0.818	0.790	0.062	0.821	0.928	0.926	0.821	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x45C5	AMBIGUOUS	0.821
_ViridianForestTrainerTips2Text	0x4584	0x4603	0.894	MEDIUM_CONFIDENCE	0.857	0.825	0.062	0.845	0.887	0.989	0.845	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x4603	AMBIGUOUS	0.845
_ViridianForestTrainerTips3Text	0x45C6	0x4653	0.899	MEDIUM_CONFIDENCE	0.903	0.917	0.156	0.899	0.713	0.000	0.035	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x4653	MEDIUM_CONFIDENCE	0.899
_ViridianForestTrainerTips4Text	0x4613	0x46A7	0.847	MEDIUM_CONFIDENCE	0.733	0.894	0.031	0.797	0.713	0.994	0.797	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x46A7	AMBIGUOUS	0.797
_ViridianForestLeavingSignText	0x4667	0x4705	0.654	MEDIUM_CONFIDENCE	0.571	0.717	0.094	0.654	0.661	0.000	0.040	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x4705	MEDIUM_CONFIDENCE	0.654
_MtMoon1FHikerBattleText	0x4692	0x4741	0.951	HIGH_CONFIDENCE	0.900	0.938	0.062	0.904	0.377	0.933	0.904	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x4741	AMBIGUOUS	0.904
_MtMoon1FHikerEndBattleText	0x46BF	0x4771	0.738	MEDIUM_CONFIDENCE	0.727	0.618	0.333	0.738	0.401	0.000	0.033	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x4771	MEDIUM_CONFIDENCE	0.738
_MtMoon1FHikerAfterBattleText	0x46D4	0x4793	0.924	HIGH_CONFIDENCE	0.857	1.000	0.156	0.880	0.160	0.881	0.880	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x4793	AMBIGUOUS	0.880
_MtMoon1FYoungster1BattleText	0x46F5	0x47B4	0.922	MEDIUM_CONFIDENCE	0.923	0.967	0.034	0.922	0.225	0.000	0.035	0	DIRECT	NONE	NO	EXPECTED_DRIFT	0x47B4	MEDIUM_CONFIDENCE	0.922
_MtMoon1FYoungster1EndBattleText	0x4713	0x47D1	0.921	HIGH_CONFIDENCE	0.857	0.889	0.062	0.871	0.306	0.990	0.871	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x47D1	AMBIGUOUS	0.871
_MtMoon1FYoungster1AfterBattleText	0x4723	0x47E3	0.931	HIGH_CONFIDENCE	0.889	0.925	0.125	0.882	0.294	0.994	0.882	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x47E3	AMBIGUOUS	0.882
_MtMoon1FCooltrainerF1BattleText	0x474B	0x4808	0.939	HIGH_CONFIDENCE	0.842	1.000	0.250	0.891	0.437	0.974	0.891	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x4808	AMBIGUOUS	0.891
_MtMoon1FCooltrainerF1EndBattleText	0x4778	0x4835	0.892	MEDIUM_CONFIDENCE	0.800	0.889	0.188	0.843	0.526	0.975	0.843	2	DIRECT	BOUNDED	NO	EXPECTED_DRIFT	0x4835	AMBIGUOUS	0.843
_MtMoon1FCooltrainerF1AfterBattleText	0x4788	0x4847	0.896	MEDIUM_CONFIDENCE	0.857	0.759	0.091	0.846	0.514	0.999	0.846	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x4847	AMBIGUOUS	0.846
_MtMoon1FSuperNerdBattleText	0x47A5	0x485D	0.858	MEDIUM_CONFIDENCE	0.727	0.964	0.037	0.814	0.722	0.875	0.814	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x485D	AMBIGUOUS	0.814
_MtMoon1FSuperNerdEndBattleText	0x47C1	0x4878	0.794	MEDIUM_CONFIDENCE	0.800	0.514	0.056	0.753	0.799	0.827	0.753	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x4878	AMBIGUOUS	0.753
_MtMoon1FSuperNerdAfterBattleText	0x47D3	0x489B	0.700	MEDIUM_CONFIDENCE	0.533	0.969	0.129	0.700	0.466	0.000	0.044	0	DIRECT	NONE	NO	SUSPICIOUS_MAPPING	0x489B	MEDIUM_CONFIDENCE	0.700
_MtMoon1FCooltrainerF2BattleText	0x47F2	0x48BB	0.898	MEDIUM_CONFIDENCE	0.842	0.820	0.125	0.851	0.505	0.944	0.851	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x48BB	AMBIGUOUS	0.851
_MtMoon1FCooltrainerF2EndBattleText	0x4824	0x48E4	0.937	HIGH_CONFIDENCE	1.000	0.818	0.111	0.937	0.799	0.000	0.122	0	DIRECT	NONE	YES	POSSIBLE_DELETION	0x48E4	HIGH_CONFIDENCE	0.937
_MtMoon1FCooltrainerF2AfterBattleText	0x482D	0x48EF	0.989	HIGH_CONFIDENCE	0.952	0.960	0.125	0.940	0.773	0.984	0.940	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x48EF	AMBIGUOUS	0.940
_MtMoon1FYoungster2BattleText	0x485D	0x4921	0.962	HIGH_CONFIDENCE	0.900	0.980	0.062	0.913	0.824	0.985	0.913	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x4921	AMBIGUOUS	0.913
_MtMoon1FYoungster2EndBattleText	0x488E	0x4951	0.832	MEDIUM_CONFIDENCE	0.889	0.591	0.154	0.832	0.942	0.000	0.034	0	DIRECT	NONE	NO	POSSIBLE_DELETION	0x4951	MEDIUM_CONFIDENCE	0.832
_MtMoon1FYoungster2AfterBattleText	0x489B	0x4967	0.974	HIGH_CONFIDENCE	0.952	0.902	0.062	0.926	0.772	0.964	0.926	1	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x4967	AMBIGUOUS	0.926
_MtMoon1FYoungster3BattleText	0x48C9	0x499A	0.989	HIGH_CONFIDENCE	0.947	0.979	0.094	0.940	0.754	0.983	0.940	1	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x499A	AMBIGUOUS	0.940
_MtMoon1FYoungster3EndBattleText	0x48F8	0x49CA	0.865	MEDIUM_CONFIDENCE	0.857	0.600	0.111	0.815	0.825	0.998	0.815	1	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x49CA	AMBIGUOUS	0.815
_MtMoon1FYoungster3AfterBattleText	0x4901	0x49D9	0.924	HIGH_CONFIDENCE	0.870	0.912	0.250	0.877	0.713	0.941	0.877	1	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x49D9	AMBIGUOUS	0.877
_MtMoon1FBewareZubatSign	0x493A	0x4A0D	0.978	HIGH_CONFIDENCE	0.923	1.000	0.062	0.930	0.933	0.978	0.930	1	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x4A0D	AMBIGUOUS	0.930
_MtMoonB1FUnusedText	0x495C	0x4A2F	1.000	EXACT	1.000	1.000	1.000	1.000	1.000	1.000	0.000	3	DIRECT	NONE	NO	NO		UNMATCHED	0.000
_MtMoonB2FDomeFossilYouWantText	0x495E	0x4A31	0.779	MEDIUM_CONFIDENCE	0.667	0.704	0.053	0.729	0.996	1.000	0.729	1	DIRECT	BOUNDED	NO	EXPECTED_DRIFT	0x4A31	AMBIGUOUS	0.729
_MtMoonB2FHelixFossilYouWantText	0x4979	0x4A44	0.781	MEDIUM_CONFIDENCE	0.667	0.714	0.100	0.733	0.772	0.960	0.733	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x4A44	AMBIGUOUS	0.733
_MtMoonB2FReceivedFossilText	0x4995	0x4A58	0.758	MEDIUM_CONFIDENCE	0.750	0.737	0.214	0.710	0.546	0.949	0.264	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x4A58	AMBIGUOUS	0.710
_MtMoonB2FYouHaveNoRoomText	0x49A8	0x4A6A	0.923	HIGH_CONFIDENCE	0.824	1.000	0.031	0.874	0.489	0.979	0.349	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x4A6A	AMBIGUOUS	0.874
_MtMoonB2FSuperNerdTheyreBothMineText	0x49CC	0x4A8E	0.886	MEDIUM_CONFIDENCE	0.833	0.779	0.125	0.838	0.422	0.961	0.838	2	DIRECT	BOUNDED	NO	EXPECTED_DRIFT	0x4A8E	AMBIGUOUS	0.838
_MtMoonB2FSuperNerdOkIllShareText	0x4A01	0x4AD2	0.888	MEDIUM_CONFIDENCE	0.889	0.640	0.062	0.839	0.650	0.984	0.839	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x4AD2	AMBIGUOUS	0.839
_MtMoonB2fSuperNerdEachTakeOneText	0x4A11	0x4AEB	0.938	HIGH_CONFIDENCE	0.875	0.950	0.031	0.892	0.815	0.912	0.892	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x4AEB	AMBIGUOUS	0.892
_MtMoonB2FSuperNerdTheresAPokemonLabText	0x4A37	0x4B13	0.791	MEDIUM_CONFIDENCE	0.750	0.870	0.031	0.791	0.788	0.000	0.047	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x4B13	MEDIUM_CONFIDENCE	0.791
_MtMoonB2FSuperNerdThenThisIsMineText	0x4A93	0x4B63	0.968	HIGH_CONFIDENCE	0.933	0.906	0.138	0.919	0.356	0.992	0.919	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x4B63	AMBIGUOUS	0.919
_MtMoonB2FRocket1BattleText	0x4AB3	0x4B80	0.889	MEDIUM_CONFIDENCE	0.889	0.882	0.406	0.889	0.232	0.000	0.059	0	DIRECT	NONE	NO	POSSIBLE_DELETION	0x4B80	MEDIUM_CONFIDENCE	0.889
_MtMoonB2FRocket1EndBattleText	0x4AF6	0x4BCC	0.947	HIGH_CONFIDENCE	0.889	0.905	0.263	0.898	0.303	0.995	0.898	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x4BCC	AMBIGUOUS	0.898
_MtMoonB2FRocket1AfterBattleText	0x4B09	0x4BE1	0.899	MEDIUM_CONFIDENCE	0.857	0.833	0.062	0.849	0.311	0.999	0.849	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x4BE1	AMBIGUOUS	0.849
_MtMoonB2FRocket2BattleText	0x4B3B	0x4C1D	0.848	MEDIUM_CONFIDENCE	0.778	0.826	0.188	0.799	0.435	0.984	0.799	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x4C1D	AMBIGUOUS	0.799
_MtMoonB2FRocket2EndBattleText	0x4B61	0x4C4B	0.752	MEDIUM_CONFIDENCE	0.667	0.571	0.083	0.703	0.538	0.980	0.703	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x4C4B	AMBIGUOUS	0.703
_MtMoonB2FRocket2AfterBattleText	0x4B6D	0x4C60	0.914	HIGH_CONFIDENCE	0.824	0.939	0.188	0.866	0.711	0.963	0.866	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x4C60	AMBIGUOUS	0.866
_MtMoonB2FRocket3BattleText	0x4B9E	0x4C8E	0.934	HIGH_CONFIDENCE	0.889	0.865	0.094	0.885	0.555	0.984	0.885	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x4C8E	AMBIGUOUS	0.885
_MtMoonB2FRocket3EndBattleText	0x4BCB	0x4CC2	0.960	HIGH_CONFIDENCE	0.889	1.000	0.105	0.912	0.623	0.963	0.912	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x4CC2	AMBIGUOUS	0.912
_MtMoonB2FRocket3AfterBattleText	0x4BDE	0x4CD5	0.879	MEDIUM_CONFIDENCE	0.800	0.833	0.094	0.829	0.588	0.995	0.829	2	DIRECT	BOUNDED	NO	EXPECTED_DRIFT	0x4CD5	AMBIGUOUS	0.829
_MtMoonB2FRocket4BattleText	0x4C0E	0x4CFD	0.929	HIGH_CONFIDENCE	0.875	0.896	0.062	0.882	0.325	0.927	0.882	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x4CFD	AMBIGUOUS	0.882
_MtMoonB2FRocket4EndBattleText	0x4C39	0x4D2D	0.804	MEDIUM_CONFIDENCE	0.857	0.542	0.154	0.804	0.354	0.000	0.036	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x4D2D	MEDIUM_CONFIDENCE	0.804
_MtMoonB2FRocket4AfterBattleText	0x4C46	0x4D45	0.950	HIGH_CONFIDENCE	0.889	0.955	0.094	0.903	0.569	0.950	0.903	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x4D45	AMBIGUOUS	0.903
_SSAnne1FWaiterText	0x4C70	0x4D71	0.820	MEDIUM_CONFIDENCE	0.638	0.952	0.281	0.770	0.534	0.999	0.770	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x4D71	AMBIGUOUS	0.770
_SSAnne1FSailorText	0x4CE6	0x4DED	0.840	MEDIUM_CONFIDENCE	0.769	0.975	0.062	0.840	0.445	0.000	0.032	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x4DED	MEDIUM_CONFIDENCE	0.840
_SSAnne2FWaiterText	0x4D34	0x4E3D	0.749	MEDIUM_CONFIDENCE	0.632	0.927	0.125	0.749	0.343	0.000	0.036	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x4E3D	MEDIUM_CONFIDENCE	0.749
_SSAnne2FRivalText	0x4D9A	0x4EAB	0.841	MEDIUM_CONFIDENCE	0.769	0.995	0.188	0.841	0.327	0.000	0.110	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x4EAB	MEDIUM_CONFIDENCE	0.841
_SSAnne2FRivalDefeatedText	0x4E57	0x4F67	0.873	HIGH_CONFIDENCE	0.842	0.933	0.094	0.873	0.000	0.000	0.088	0	DIRECT	NONE	YES	POSSIBLE_DELETION	0x4F67	HIGH_CONFIDENCE	0.873
_SSAnne2FRivalVictoryText	0x4E81	0x4F94	0.887	MEDIUM_CONFIDENCE	0.846	0.791	0.156	0.839	0.000	0.960	0.839	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x4F94	AMBIGUOUS	0.839
_SSAnne2FRivalCutMasterText	0x4EB6	0x4FD7	0.870	MEDIUM_CONFIDENCE	0.853	0.925	0.188	0.870	0.147	0.000	0.080	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x4FD7	MEDIUM_CONFIDENCE	0.870
_SSAnne3FSailorText	0x4F4B	0x5078	0.899	MEDIUM_CONFIDENCE	0.867	0.803	0.031	0.849	0.130	0.987	0.849	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x5078	AMBIGUOUS	0.849
_SSAnneBowSuperNerdText	0x4F88	0x50C4	0.946	HIGH_CONFIDENCE	0.900	0.902	0.094	0.898	0.343	0.960	0.898	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x50C4	AMBIGUOUS	0.898
_SSAnneBowSailor1Text	0x4FBB	0x50F2	0.873	MEDIUM_CONFIDENCE	0.857	0.756	0.032	0.828	0.139	0.907	0.828	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x50F2	AMBIGUOUS	0.828
_SSAnneBowCooltrainerMText	0x4FDA	0x511B	0.833	MEDIUM_CONFIDENCE	0.833	0.803	0.188	0.833	0.299	0.000	0.038	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x511B	MEDIUM_CONFIDENCE	0.833
_SSAnneBowSailor2BattleText	0x500B	0x5158	0.851	MEDIUM_CONFIDENCE	0.714	0.941	0.062	0.803	0.469	0.956	0.803	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x5158	AMBIGUOUS	0.803
_SSAnneBowSailor2EndBattleText	0x502D	0x5178	0.986	HIGH_CONFIDENCE	1.000	0.826	0.053	0.937	0.362	0.988	0.937	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x5178	AMBIGUOUS	0.937
_SSAnneBowSailor2AfterBattleText	0x5040	0x518F	0.913	HIGH_CONFIDENCE	0.857	0.854	0.094	0.865	0.414	0.968	0.865	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x518F	AMBIGUOUS	0.865
_SSAnneBowSailor3BattleText	0x5070	0x51B8	0.908	HIGH_CONFIDENCE	0.857	0.833	0.100	0.861	0.172	0.943	0.861	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x51B8	AMBIGUOUS	0.861
_SSAnneBowSailor3EndBattleText	0x508E	0x51DC	0.939	HIGH_CONFIDENCE	0.889	0.909	0.050	0.892	0.247	0.934	0.892	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x51DC	AMBIGUOUS	0.892
_SSAnneBowSailor3AfterBattleText	0x50A4	0x51F0	0.879	MEDIUM_CONFIDENCE	0.882	0.890	0.094	0.879	0.162	0.000	0.041	0	DIRECT	NONE	NO	POSSIBLE_DELETION	0x51F0	MEDIUM_CONFIDENCE	0.879
_SSAnneKitchenCook1Text	0x50E5	0x5239	0.902	MEDIUM_CONFIDENCE	0.857	0.925	0.094	0.852	0.215	0.998	0.852	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x5239	AMBIGUOUS	0.852
_SSAnneKitchenCook2Text	0x5116	0x526E	0.859	MEDIUM_CONFIDENCE	0.824	0.733	0.188	0.809	0.211	0.998	0.809	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x526E	AMBIGUOUS	0.809
_SSAnneKitchenCook3Text	0x5137	0x529B	0.811	MEDIUM_CONFIDENCE	0.750	0.714	0.067	0.761	0.411	0.983	0.761	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x529B	AMBIGUOUS	0.761
_SSAnneKitchenCook4Text	0x5155	0x52C5	0.828	MEDIUM_CONFIDENCE	0.750	0.722	0.062	0.779	0.616	0.979	0.779	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x52C5	AMBIGUOUS	0.779
_SSAnneKitchenCook5Text	0x518E	0x5314	0.933	HIGH_CONFIDENCE	0.880	0.952	0.062	0.885	0.988	0.956	0.885	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x5314	AMBIGUOUS	0.885
_SSAnneKitchenCook6Text	0x51C9	0x5352	0.947	HIGH_CONFIDENCE	0.889	0.931	0.062	0.897	0.943	0.992	0.897	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x5352	AMBIGUOUS	0.897
_SSAnneKitchenCook7MainCourseIsText	0x5203	0x5388	0.339	UNMATCHED	0.340	0.197	0.094	0.339	0.748	0.000	0.045	0	DIRECT	NONE	NO	POSSIBLE_DELETION	0x5388	UNMATCHED	0.339
_SSAnneCaptainsRoomRubCaptainsBackText	0x52DD	0x5465	0.906	HIGH_CONFIDENCE	0.895	0.938	0.219	0.906	0.408	0.000	0.140	0	DIRECT	NONE	YES	POSSIBLE_INSERTION	0x5465	HIGH_CONFIDENCE	0.906
_SSAnneCaptainsRoomCaptainIFeelMuchBetterText	0x5347	0x54D6	0.666	MEDIUM_CONFIDENCE	0.482	0.912	0.188	0.666	0.363	0.000	0.039	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x54D6	MEDIUM_CONFIDENCE	0.666
_SSAnneCaptainsRoomCaptainReceivedHM01Text	0x540D	0x55AF	0.741	MEDIUM_CONFIDENCE	0.750	0.882	0.267	0.741	0.407	0.000	0.036	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x55AF	MEDIUM_CONFIDENCE	0.741
_SSAnneCaptainsRoomCaptainNotSickAnymoreText	0x541C	0x55C4	0.933	MEDIUM_CONFIDENCE	0.929	0.985	0.188	0.933	0.510	0.000	0.044	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x55C4	MEDIUM_CONFIDENCE	0.933
_SSAnneCaptainsRoomCaptainHM01NoRoomText	0x545D	0x5606	0.935	HIGH_CONFIDENCE	0.875	0.914	0.062	0.886	0.411	0.982	0.886	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x5606	AMBIGUOUS	0.886
