symbol	usa	ita	status	score	source	delta	reason
CeladonMart4F_h	12:434A	12:434A	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
CeladonMartRoof_h	12:43C9	12:43C9	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
CeladonMartElevator_h	12:45F4	12:45F4	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
CeladonMansion1F_h	12:4688	12:4688	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
CeladonMansion2F_h	12:472E	12:472E	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
CeladonMansion3F_h	12:4784	12:4784	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
CeladonMansionRoof_h	12:485F	12:485F	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
CeladonPokecenter_h	12:48AC	12:48AC	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
CeladonGym_h	12:48FE	12:48FE	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
GameCorner_h	12:4BB1	12:4BB0	CONFIRMED	5	SEARCH	-1	anchor
CeladonMart5F_h	12:505D	12:505F	HIGH	5	SEARCH	2	sequence_alignment
GameCornerPrizeRoom_h	12:50E4	12:50E6	HIGH	5	SEARCH	2	sequence_alignment
CeladonDiner_h	12:5145	12:5147	HIGH	5	SEARCH	2	sequence_alignment
CeladonChiefHouse_h	12:5202	12:5204	CONFIRMED	5	SEARCH	2	anchor
CeladonHotel_h	12:525D	12:525F	HIGH	5	SEARCH	2	sequence_alignment
MtMoonPokecenter_h	12:52C3	12:52C5	HIGH	5	SEARCH	2	sequence_alignment
RockTunnelPokecenter_h	12:53AE	12:53B0	HIGH	5	SEARCH	2	sequence_alignment
Route11Gate1F_h	12:5400	12:5402	HIGH	5	SEARCH	2	sequence_alignment
Route11Gate2F_h	12:5448	12:544A	HIGH	5	SEARCH	2	sequence_alignment
Route12Gate1F_h	12:54F8	12:54FA	HIGH	5	SEARCH	2	sequence_alignment
Route12Gate2F_h	12:5554	12:5556	HIGH	5	SEARCH	2	sequence_alignment
Route15Gate1F_h	12:55F6	12:55F8	HIGH	5	SEARCH	2	sequence_alignment
Route15Gate2F_h	12:563E	12:5640	HIGH	5	SEARCH	2	sequence_alignment
Route16Gate1F_h	12:56B2	12:56B4	CONFIRMED	5	SEARCH	2	anchor
Route16Gate2F_h	12:57FF	12:5801	HIGH	5	SEARCH	2	sequence_alignment
Route18Gate1F_h	12:586A	12:586C	HIGH	5	SEARCH	2	sequence_alignment
Route18Gate2F_h	12:5969	12:596B	HIGH	5	SEARCH	2	sequence_alignment
MtMoon1F_h	12:59BC	12:59BE	HIGH	5	SEARCH	2	sequence_alignment
MtMoonB2F_h	12:5CFF	12:5D01	HIGH	5	SEARCH	2	sequence_alignment
SafariZoneWest_h	12:61A9	12:61AB	HIGH	5	SEARCH	2	sequence_alignment
SafariZoneSecretHouse_h	12:630B	12:630D	HIGH	5	SEARCH	2	sequence_alignment
TradeCenter_h	13:7D04	13:7D04	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Colosseum_h	13:7D71	13:7D71	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route22_h	14:4000	14:4000	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route20_h	14:40F1	14:40F1	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route23_h	14:433F	14:433F	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route24_h	14:4682	14:4682	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route25_h	14:479B	14:479B	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
IndigoPlateau_h	14:491E	14:491E	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SaffronCity_h	14:49A4	14:49A4	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
VictoryRoad2F_h	14:5791	14:5790	HIGH	5	SEARCH	-1	sequence_alignment
MtMoonB1F_h	14:5A36	14:5A35	CONFIRMED	5	SEARCH	-1	anchor
SilphCo7F_h	14:5B55	14:5B54	HIGH	5	SEARCH	-1	sequence_alignment
PokemonMansion2F_h	14:5FCC	14:5FCB	HIGH	5	SEARCH	-1	sequence_alignment
PokemonMansion3F_h	14:61E2	14:61E1	HIGH	5	SEARCH	-1	sequence_alignment
PokemonMansionB1F_h	14:63AD	14:63AC	HIGH	5	SEARCH	-1	sequence_alignment
Route2_h	15:4000	15:4000	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route3_h	15:41E6	15:41E6	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route4_h	15:4390	15:4390	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route5_h	15:4581	15:4581	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route9_h	15:4686	15:4686	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route13_h	15:480C	15:480C	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route14_h	15:4999	15:4999	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route17_h	15:4B20	15:4B20	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route19_h	15:4E78	15:4E78	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route21_h	15:4FFF	15:4FFF	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
VermilionOldRodHouse_h	15:6064	15:6064	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
CeladonMart2F_h	15:60E9	15:60E9	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
FuchsiaGoodRodHouse_h	15:6170	15:6170	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Daycare_h	15:6243	15:6243	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route12SuperRodHouse_h	15:6473	15:6473	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SilphCo8F_h	15:64F8	15:64F8	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route6_h	16:4000	16:4000	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route8_h	16:412D	16:412D	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route10_h	16:42D4	16:42D4	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route11_h	16:44BE	16:44BE	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route12_h	16:466D	16:466D	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route15_h	16:492C	16:492C	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route16_h	16:4ADA	16:4ADA	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Route18_h	16:4C38	16:4C38	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
PokemonFanClub_h	16:5B64	16:5B64	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SilphCo2F_h	16:5CE5	16:5CE5	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SilphCo3F_h	16:5F4F	16:5F4F	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SilphCo10F_h	16:612D	16:612D	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
LancesRoom_h	16:62A2	16:62A2	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
HallOfFame_h	16:6492	16:6492	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
RedsHouse2F_h	17:40A4	17:40A4	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Museum1F_h	17:40EB	17:40EB	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
Museum2F_h	17:430B	17:430B	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
PewterGym_h	17:437B	17:437B	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
PewterPokecenter_h	17:457B	17:457B	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
CeruleanPokecenter_h	17:4639	17:4639	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
CeruleanGym_h	17:46A7	17:46A7	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
CeruleanMart_h	17:4889	17:4887	HIGH	5	SEARCH	-2	sequence_alignment
LavenderPokecenter_h	17:48CE	17:48CC	HIGH	5	SEARCH	-2	sequence_alignment
LavenderMart_h	17:4920	17:491E	HIGH	5	SEARCH	-2	sequence_alignment
VermilionPokecenter_h	17:4983	17:4981	HIGH	5	SEARCH	-2	sequence_alignment
VermilionMart_h	17:49D5	17:49D3	HIGH	5	SEARCH	-2	sequence_alignment
VermilionGym_h	17:4A1A	17:4A18	HIGH	5	SEARCH	-2	sequence_alignment
CopycatsHouse2F_h	17:4C65	17:4C60	HIGH	5	SEARCH	-5	sequence_alignment
FightingDojo_h	17:4D51	17:4D4C	HIGH	5	SEARCH	-5	sequence_alignment
SaffronGym_h	17:5001	17:4FFC	HIGH	5	SEARCH	-5	sequence_alignment
SaffronMart_h	17:53FD	17:53F9	HIGH	5	SEARCH	-4	sequence_alignment
SilphCo1F_h	17:5442	17:543E	HIGH	5	SEARCH	-4	sequence_alignment
SaffronPokecenter_h	17:5529	17:5525	HIGH	5	SEARCH	-4	sequence_alignment
ViridianForestNorthGate_h	17:557B	17:5577	HIGH	5	SEARCH	-4	sequence_alignment
Route2Gate_h	17:55C8	17:55C4	HIGH	5	SEARCH	-4	sequence_alignment
ViridianForestSouthGate_h	17:5650	17:564C	HIGH	5	SEARCH	-4	sequence_alignment
UndergroundPathRoute5_h	17:569D	17:5699	HIGH	5	SEARCH	-4	sequence_alignment
UndergroundPathRoute6_h	17:56E3	17:56DF	HIGH	5	SEARCH	-4	sequence_alignment
UndergroundPathRoute7_h	17:5720	17:571C	HIGH	5	SEARCH	-4	sequence_alignment
SilphCo9F_h	17:57AF	17:57AB	HIGH	5	SEARCH	-4	sequence_alignment
VictoryRoad1F_h	17:59FE	17:59FA	CONFIRMED	5	SEARCH	-4	anchor
PokemonTower1F_h	18:4420	18:4420	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
PokemonTower2F_h	18:44E6	18:44E6	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
PokemonTower3F_h	18:46C0	18:46C0	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
PokemonTower4F_h	18:47EA	18:47EA	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
PokemonTower5F_h	18:4926	18:4926	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
PokemonTower6F_h	18:4AE3	18:4AE3	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
PokemonTower7F_h	18:4CF9	18:4CF9	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
CeladonMart1F_h	18:4F7A	18:4F7A	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
ViridianForest_h	18:5101	18:5101	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SSAnne1F_h	18:5259	18:5259	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SSAnne2F_h	18:5393	18:5393	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SSAnneB1F_h	18:5622	18:5622	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SSAnneBow_h	18:56A2	18:56A2	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SSAnneKitchen_h	18:57A7	18:57A7	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SSAnneCaptainsRoom_h	18:5889	18:5889	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SSAnne1FRooms_h	18:596A	18:596A	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SSAnne2FRooms_h	18:5B3F	18:5B3F	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SSAnneB1FRooms_h	18:5D49	18:5D49	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
UndergroundPathNorthSouth_h	18:5F1A	18:5F1A	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
UndergroundPathWestEast_h	18:5F3E	18:5F3E	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
DiglettsCave_h	18:5F62	18:5F62	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
SilphCo11F_h	18:60EE	18:60EE	CONFIRMED	5	MANIFEST+SEARCH	0	anchor
ViridianGym_h	1D:4897	1D:4912	CONFIRMED	5	SEARCH	123	anchor
PewterMart_h	1D:4CA1	1D:4D1B	HIGH	5	SEARCH	122	sequence_alignment
CeruleanCave1F_h	1D:4D00	1D:4D7A	HIGH	5	SEARCH	122	sequence_alignment
CeruleanBadgeHouse_h	1D:4DFD	1D:4E77	HIGH	5	SEARCH	122	sequence_alignment
FuchsiaBillsGrandpasHouse_h	1D:500C	1D:5086	HIGH	5	SEARCH	122	sequence_alignment
FuchsiaPokecenter_h	1D:5057	1D:50D1	HIGH	5	SEARCH	122	sequence_alignment
WardensHouse_h	1D:50A9	1D:5123	CONFIRMED	5	SEARCH	122	anchor
SafariZoneGate_h	1D:51C1	1D:523B	HIGH	5	SEARCH	122	sequence_alignment
FuchsiaGym_h	1D:5431	1D:54AB	HIGH	5	SEARCH	122	sequence_alignment
FuchsiaMeetingRoom_h	1D:56D7	1D:574F	CONFIRMED	5	SEARCH	120	anchor
CinnabarGym_h	1D:573E	1D:57B6	HIGH	5	SEARCH	120	sequence_alignment
CinnabarLab_h	1D:5B80	1D:5BF7	CONFIRMED	5	SEARCH	119	anchor
CinnabarLabTradeRoom_h	1D:5C15	1D:5C8C	HIGH	5	SEARCH	119	sequence_alignment
CinnabarLabMetronomeRoom_h	1D:5C7B	1D:5CF2	HIGH	5	SEARCH	119	sequence_alignment
CinnabarLabFossilRoom_h	1D:5D25	1D:5D9C	HIGH	5	SEARCH	119	sequence_alignment
CinnabarPokecenter_h	1D:5E20	1D:5E97	HIGH	5	SEARCH	119	sequence_alignment
CinnabarMart_h	1D:5E72	1D:5EE9	HIGH	5	SEARCH	119	sequence_alignment
CopycatsHouse1F_h	1D:5EB7	1D:5F2E	HIGH	5	SEARCH	119	sequence_alignment
ChampionsRoom_h	1D:5F11	1D:5F88	CONFIRMED	5	SEARCH	119	anchor
LoreleisRoom_h	1D:616F	1D:61E6	HIGH	5	SEARCH	119	sequence_alignment
BrunosRoom_h	1D:62CA	1D:6341	HIGH	5	SEARCH	119	sequence_alignment
AgathasRoom_h	1D:6421	1D:6498	CONFIRMED	5	SEARCH	119	anchor
